392,493,897,1,0,0,1,0,0,1,0,0,17
386,577,823,1,0,0,1,0,0,1,0,0,17
401,573,868,1,0,0,1,0,0,1,0,0,17
338,531,829,2,2,4,1,0,0,1,0,0,15
364,561,806,2,2,4,1,0,0,1,0,0,14
399,533,801,2,2,4,1,0,0,1,0,0,14
365,445,927,2,3,4,1,1,0,1,0,0,11
384,510,911,2,3,4,1,1,0,1,0,0,-9
364,609,856,2,3,4,1,1,0,1,0,0,-7
371,533,892,2,3,5,1,2,0,1,0,0,-5
355,478,794,2,3,5,1,2,0,1,0,0,-5
400,554,829,2,3,5,1,2,0,1,0,0,-4
342,568,816,2,3,5,1,1,0,1,0,0,-4
329,657,813,2,3,5,1,1,0,1,0,0,-4
387,530,805,2,3,5,1,1,0,1,0,0,-5
381,522,870,2,3,5,1,1,0,1,0,0,-5
394,528,834,2,4,5,1,1,0,1,0,0,-5
370,585,870,2,3,5,1,1,0,1,0,0,-5
345,537,776,2,3,5,1,1,0,1,1,0,-5
377,642,778,2,3,5,1,1,0,1,1,0,-6
362,556,804,2,3,5,1,1,0,1,1,0,-6
355,516,807,2,3,5,1,1,0,1,0,0,-6
333,547,758,2,4,5,1,1,0,1,0,0,-6
371,508,814,2,4,4,1,1,0,1,0,0,-5
374,601,852,2,3,4,1,1,0,1,0,0,-5
341,606,798,2,3,4,1,1,0,1,0,0,-4
358,587,807,2,3,4,1,1,0,1,0,0,-4
352,634,829,2,3,4,1,1,1,1,0,0,-3
358,585,886,2,3,4,1,1,1,1,0,0,-3
355,643,848,2,3,4,1,1,1,1,0,0,-3
366,629,863,2,3,4,1,1,1,1,0,0,-2
329,571,802,2,3,5,1,1,1,1,0,0,-2
362,534,863,2,3,5,1,1,1,1,0,0,-2
340,593,761,2,3,5,1,1,1,1,0,0,-2
329,541,834,2,3,5,1,1,1,1,0,0,-2
352,644,852,2,3,5,1,1,1,1,0,0,-2
345,616,830,2,3,5,1,1,1,1,0,0,-2
365,664,780,2,3,5,1,1,1,1,0,0,-2
349,660,773,2,3,5,1,1,1,1,0,0,-2
336,653,826,2,3,5,1,1,1,1,0,0,-2
346,669,839,2,3,5,1,1,1,1,0,0,-2
357,550,808,2,3,5,1,1,1,1,0,0,-2
351,715,866,2,3,5,1,1,1,1,0,0,-2
353,606,762,2,3,5,1,1,1,1,0,0,-2
320,543,822,2,3,5,1,1,1,1,0,0,-2
336,598,791,2,4,5,1,1,1,1,0,0,-2
354,570,773,2,4,5,1,1,1,1,0,0,-2
344,645,796,2,4,5,1,1,1,1,0,0,-2
342,641,864,2,4,5,1,1,1,1,0,0,-2
336,600,738,2,4,5,1,1,1,1,0,0,-2
330,654,726,2,4,5,1,1,1,1,0,0,-2
346,646,783,2,4,4,1,1,1,1,0,0,-2
301,569,783,2,4,4,1,1,1,1,0,0,-2
339,677,841,2,4,4,1,1,1,1,0,0,-2
319,722,856,2,4,4,1,1,1,1,0,0,-2
322,700,765,2,4,4,1,1,1,1,0,0,-2
326,698,799,2,4,4,1,1,1,1,0,0,-3
337,522,769,2,4,4,1,1,1,1,0,0,-2
312,682,809,2,4,4,1,1,1,1,0,0,-2
337,619,809,2,4,4,1,1,1,1,0,0,-2
323,673,820,2,4,4,1,1,1,1,0,0,-2
